X,Y
-94.323863504472968,90.841051041627608
-96.443325777136991,93.355833106837167
-91.793547536618888,90.611534092822311
-95.588922870141317,92.497116340532443
-96.929083048795562,91.319924247758507
-92.7097264000313,88.919491293959098
-93.35611694319887,93.571378511620082
-89.996412487436345,86.882128490028322
-95.001189503004952,93.565217180006869
-91.075904958147376,86.815369498010625
-94.578603776541996,90.259850384645091
-95.745085987793956,90.859803563127329
-94.348839145990468,91.355984003730626
-92.607092840922121,91.281311739102065
-91.709234388977762,89.238342868596135
-91.628117709017829,86.018988691441635
-93.656087471889961,89.43943445043827
-96.845583626783053,92.427981945866776
-94.593982379924441,91.485829467058977
-90.356391855710896,87.192211403524695
-93.515185527610939,93.252087188976134
-96.111026518889815,90.327716505254926
-92.910869654289115,89.80156258514495
-92.309809133073657,89.864377162064557
-96.881626526076346,92.315651102431787
-92.139803040956792,88.384206652940378
-91.225596478011653,91.045923522103863
-96.230776404835638,92.993884144183824
-95.196056283813562,91.567104486222476
-90.217786025320507,87.2225604006304
-95.369179457992459,93.876802104251993
-96.87911276768412,91.059412731719021
-92.318121171374017,88.476855829887668
-90.797897880747897,87.004173707072852
-96.849729876405902,94.027201619641232
-93.391677872310723,93.650353534401305
-96.584695363028203,90.664736750738101
-94.329955532135557,90.296232330837668
-91.163008204529731,88.87135999106053
-93.505505187281003,89.58736366055652
-94.926667140639879,91.83360534453179
-90.888896044632133,85.839023570591664
-89.027724635774675,89.461387839222667
-96.245021916803566,93.468550570454511
-92.66396073185679,90.327091907059241
-91.385116563688698,85.969268925042897
-92.671569615377237,89.976750057664603
-95.516626585616024,92.579174363888384
-89.771372355733448,86.789501506229911
-93.262376941489208,88.805018717825732
-95.980459738995535,90.918423894240831
-93.056137550273036,89.700805610401829
-95.892657020132361,90.812568993521154
-95.026802984658318,92.144489944597652
-96.174775207979181,91.447625069952778
-97.484835940611489,90.969994235454465
-90.996658081202028,86.167187933487753
-90.661998295368804,86.313527066050739
-97.776713529123583,91.555771906354948
-96.544806520389258,93.836771747168612
-91.468648561238439,88.092398309863668
-95.849145024184253,90.972548190988221
-95.140389749330311,92.062439716898197
-91.959148052131596,88.859384730352346
-94.616285928383263,90.408003246465029
-90.077938131981213,87.797081088118034
-96.030360040008773,93.560909345355881
-95.293154051817481,92.442285275080266
-95.783467694405743,92.575852587013699
-91.774114865815761,90.94474267116766
-92.426737958817043,90.424869289456439
-93.745682135262527,89.994062011843297
-90.199423140904599,87.975948860792528
-95.521247296553625,92.77811164197567
-92.410574825136862,90.168120180331172
-93.27722023744812,89.968524491549275
-95.569594051929954,91.485307230147967
-95.27792435827314,90.734555925878752
-91.469765911692932,87.789968634201841
-94.169513877160426,90.934752444246726
-94.741586958326664,93.375449797112267
-92.320995115821972,88.794230504487146
-90.589219026747429,86.350078153215549
-92.288325038938225,89.481223916846361
-90.514364609850091,86.925831412584316
-93.478575073386025,89.679271733140496
-95.103246187397843,91.460678676101509
-96.044525898837506,93.656562243722561
-92.794697031994104,89.751851571813361
-94.786036037458828,91.189902715485232
-89.907893641798296,86.910776715509456
-90.929024938188192,88.950595809555679
-91.0681260948746,88.770058894460519
-94.138473998437718,89.68466175453645
-91.758741101648255,87.971197459056157
